Depth (ft),Core,Mg,Al,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,W,Hg,Pb,Bi,Th,U,LE
7952,15,3.14,5.01,20.12,0.0893,0.8057,1.2246,12.12,0.2913,0.0239,0.0070,0.0845,4.9387,ND,0.0019,0.0027,0.0014,0.0007,0.0005,0.0053,0.0218,0.0014,0.0149,0.0017,ND,ND,ND,ND,ND,ND,ND,0.0008,ND,ND,ND,52.08
7952,15,1.66,6.33,29.84,ND,1.3072,2.0461,3.16,0.4249,0.0356,0.0147,0.0257,2.7415,ND,0.0070,0.0046,0.0017,0.0010,0.0011,0.0097,0.0186,0.0021,0.0238,0.0027,0.0008,ND,ND,ND,ND,ND,ND,0.0013,ND,ND,0.0005,52.35
7953,15,1.71,5.13,22.89,2.4066,1.3413,1.4299,9.14,0.4085,0.0355,0.0149,0.0281,2.3446,ND,0.0046,0.0028,0.0018,0.0006,0.0007,0.0087,0.0272,0.0060,0.0232,0.0023,ND,ND,ND,ND,ND,ND,ND,0.0013,ND,ND,0.0007,53.04
7953,15,2.02,5.87,31.12,ND,0.9175,1.8390,3.15,0.4092,0.0278,0.0113,0.0254,2.4374,ND,0.0032,0.0032,0.0015,0.0008,0.0006,0.0088,0.0184,0.0021,0.0232,0.0022,ND,ND,ND,ND,ND,ND,ND,0.0012,ND,ND,0.0007,52.11
7954,15,2.03,5.85,30.88,ND,1.4346,1.7807,3.38,0.3789,0.0258,0.0123,0.0276,2.5997,ND,0.0051,0.0033,0.0015,0.0010,0.0008,0.0088,0.0212,0.0020,0.0209,0.0021,0.0007,ND,ND,ND,ND,ND,ND,0.0013,ND,ND,0.0006,51.54
7954,15,1.80,5.76,30.61,ND,1.5992,1.8450,3.44,0.3702,0.0359,0.0120,0.0254,2.4146,ND,0.0044,0.0029,0.0018,0.0010,0.0006,0.0085,0.0203,0.0022,0.0229,0.0019,0.0005,ND,ND,ND,ND,ND,ND,0.0012,ND,0.0010,0.0005,52.03
7955,15,2.04,6.67,29.00,ND,2.0531,2.0795,3.53,0.3970,0.0359,0.0143,0.0297,2.8937,ND,0.0059,0.0036,0.0019,0.0011,0.0011,0.0087,0.0193,0.0021,0.0223,0.0026,0.0011,ND,ND,ND,ND,ND,0.0005,0.0012,ND,ND,ND,51.19
7955,15,2.00,5.39,30.90,ND,0.9974,1.6685,4.33,0.3659,0.0249,0.0094,0.0308,2.5750,ND,0.0021,0.0028,0.0013,0.0008,0.0005,0.0078,0.0195,0.0021,0.0225,0.0020,ND,ND,ND,ND,ND,ND,ND,0.0013,ND,0.0009,ND,51.65
7956,15,1.89,4.18,25.97,0.1078,1.5221,1.1417,11.45,0.3386,0.0294,0.0183,0.0277,2.6529,ND,0.0043,0.0025,0.0014,0.0013,0.0008,0.0058,0.0344,0.0036,0.0197,0.0017,ND,ND,ND,ND,ND,0.0011,ND,0.0011,ND,0.0011,0.0007,50.59
7956,15,1.45,2.93,27.06,0.0528,6.3029,0.4612,12.29,0.1721,0.0123,ND,0.0222,8.7856,ND,0.0022,0.0021,0.0006,0.0015,0.0027,0.0021,0.0403,0.0028,0.0114,0.0008,0.0013,ND,ND,ND,ND,ND,0.0008,0.0008,ND,0.0024,ND,40.39
7957,15,1.78,7.26,29.54,ND,2.5098,2.3482,2.76,0.4469,0.0404,0.0203,0.0210,3.0479,ND,0.0104,0.0050,0.0101,0.0015,0.0025,0.0099,0.0182,0.0025,0.0207,0.0024,0.0033,ND,ND,ND,ND,ND,ND,0.0014,ND,0.0011,0.0011,50.14
7957,15,1.54,7.70,29.85,0.1781,1.6067,2.6409,2.08,0.4154,0.0465,0.0211,0.0168,3.2125,ND,0.0094,0.0048,0.0046,0.0017,0.0021,0.0120,0.0144,0.0024,0.0207,0.0023,0.0005,ND,ND,ND,ND,ND,ND,0.0016,ND,ND,ND,50.61
7958,15,1.63,5.96,28.37,0.4164,1.3798,1.9323,5.50,0.3649,0.0566,0.0277,0.0171,2.8143,ND,0.0131,0.0051,0.0046,0.0019,0.0036,0.0095,0.0211,0.0042,0.0159,0.0018,0.0024,ND,ND,ND,ND,ND,0.0005,0.0012,ND,0.0012,0.0024,51.44
7958,15,1.85,6.82,29.72,0.0301,1.0008,2.4375,2.05,0.4108,0.0656,0.0373,0.0192,2.7528,ND,0.0149,0.0062,0.0096,0.0014,0.0040,0.0120,0.0118,0.0020,0.0172,0.0022,0.0015,ND,ND,ND,ND,ND,ND,0.0016,ND,ND,0.0009,52.72
7959,15,1.84,6.34,33.29,ND,1.0573,2.1739,1.64,0.3919,0.0385,0.0197,0.0209,2.6001,ND,0.0096,0.0029,0.0186,0.0007,0.0017,0.0101,0.0108,0.0015,0.0183,0.0021,0.0005,ND,ND,ND,ND,ND,0.0006,0.0014,ND,0.0009,ND,50.50
7959,15,1.68,6.78,28.43,0.0487,0.7993,2.2831,3.23,0.4151,0.0542,0.0310,0.0188,2.6123,ND,0.0148,0.0055,0.0093,0.0011,0.0032,0.0112,0.0140,0.0025,0.0181,0.0021,0.0008,ND,ND,ND,ND,ND,0.0006,0.0012,ND,0.0010,0.0016,53.53
7960,15,1.58,7.15,33.06,ND,1.7927,2.3863,0.22,0.4203,0.0373,0.0123,0.0146,3.0540,ND,0.0072,0.0035,0.0101,0.0011,0.0010,0.0110,0.0118,0.0013,0.0194,0.0025,0.0012,ND,ND,ND,ND,ND,ND,0.0015,ND,ND,ND,50.20
7960,15,2.01,6.49,31.70,ND,1.3583,2.1433,2.53,0.4125,0.0457,0.0244,0.0204,3.0307,ND,0.0080,0.0049,0.0085,0.0016,0.0022,0.0102,0.0138,0.0018,0.0183,0.0020,0.0009,ND,ND,ND,ND,ND,0.0005,0.0015,ND,ND,ND,50.16
7961,15,1.62,4.60,24.90,0.0621,1.9009,1.3151,11.18,0.3027,0.0462,0.0231,0.0210,2.8019,ND,0.0071,0.0039,0.0037,0.0013,0.0020,0.0073,0.0337,0.0031,0.0135,0.0018,0.0017,ND,ND,ND,ND,0.0013,ND,0.0014,ND,ND,0.0014,51.13
7961,15,0.83,0.43,5.28,0.0339,0.4374,ND,40.27,0.0617,0.0279,ND,0.0478,1.1970,ND,ND,0.0016,0.0013,0.0006,0.0004,0.0004,0.0900,0.0015,0.0034,ND,ND,ND,ND,ND,ND,ND,0.0007,ND,ND,0.0016,ND,51.28
7962,15,1.56,0.41,2.68,0.0914,0.2095,ND,41.39,0.0739,0.0335,ND,0.0416,0.5067,ND,ND,0.0014,0.0008,ND,0.0002,0.0005,0.1084,0.0005,0.0033,ND,ND,ND,ND,ND,ND,ND,ND,0.0006,ND,0.0022,ND,52.88
7962,15,ND,0.45,3.08,0.0984,0.2255,ND,40.90,0.0958,0.0253,0.0055,0.0493,0.5681,ND,ND,0.0021,0.0016,0.0003,0.0004,0.0005,0.0887,0.0008,0.0032,ND,ND,ND,ND,ND,ND,0.0015,ND,0.0005,ND,0.0018,ND,54.40
7963,15,1.75,4.08,22.40,0.2319,1.1636,1.0414,14.87,0.2660,0.0361,0.0251,0.0246,2.3592,ND,0.0086,0.0052,0.0083,0.0011,0.0021,0.0057,0.0432,0.0034,0.0124,0.0015,0.0009,ND,ND,ND,ND,ND,ND,0.0011,ND,0.0011,ND,51.67
7963,15,1.81,7.13,30.16,ND,2.5035,2.2143,2.18,0.3907,0.0286,0.0138,0.0198,3.6582,ND,0.0087,0.0055,0.0210,0.0024,0.0014,0.0103,0.0148,0.0019,0.0197,0.0024,0.0006,ND,ND,ND,ND,ND,ND,0.0016,ND,0.0010,ND,49.80
7964,15,1.75,6.67,32.69,ND,1.7519,2.1574,1.15,0.4177,0.0328,0.0094,0.0225,2.9438,ND,0.0062,0.0032,0.0248,0.0012,0.0006,0.0104,0.0165,0.0017,0.0204,0.0021,0.0009,ND,ND,ND,ND,0.0013,ND,0.0015,ND,0.0010,0.0005,50.32
7964,15,1.67,6.90,31.63,0.0325,1.7274,2.2664,0.91,0.4145,0.0383,0.0162,0.0185,2.6476,ND,0.0077,0.0039,0.0238,0.0010,0.0010,0.0108,0.0136,0.0021,0.0209,0.0027,0.0005,ND,ND,ND,ND,ND,ND,0.0017,ND,0.0019,ND,51.64
7965,15,1.44,6.12,28.28,0.1066,1.3817,2.0236,6.10,0.3553,0.0416,0.0262,0.0214,2.8000,ND,0.0089,0.0050,0.0076,0.0022,0.0022,0.0097,0.0216,0.0025,0.0177,0.0022,0.0009,ND,ND,ND,ND,0.0012,ND,0.0016,ND,0.0014,ND,51.22
7965,15,1.63,7.91,29.56,ND,1.6522,2.6905,1.61,0.4604,0.0705,0.0342,0.0181,3.2379,ND,0.0154,0.0079,0.0250,0.0015,0.0037,0.0128,0.0157,0.0025,0.0200,0.0026,0.0039,ND,ND,ND,ND,ND,0.0005,0.0022,ND,ND,0.0012,51.02
7966,15,1.53,5.55,32.47,ND,2.2339,1.6284,2.41,0.3814,0.0233,0.0108,0.0190,2.0907,ND,0.0017,0.0021,0.0015,0.0008,0.0005,0.0064,0.0217,0.0019,0.0263,0.0016,0.0005,ND,ND,ND,ND,0.0012,ND,0.0012,ND,0.0011,ND,51.59
7966,15,1.96,5.86,32.50,ND,1.0451,1.7010,2.93,0.3699,0.0243,0.0070,0.0339,2.2737,ND,0.0018,0.0028,0.0042,0.0005,0.0002,0.0068,0.0202,0.0020,0.0245,0.0019,ND,ND,ND,ND,ND,ND,ND,0.0011,ND,ND,ND,51.23
7967,15,2.06,6.13,31.99,ND,1.3589,1.7794,2.71,0.3949,0.0183,0.0118,0.0345,2.2085,ND,0.0027,0.0025,0.0030,0.0003,0.0002,0.0078,0.0187,0.0019,0.0246,0.0022,ND,ND,ND,ND,ND,ND,ND,0.0012,ND,ND,ND,51.23
7967,15,2.33,5.54,31.29,ND,1.3834,1.5941,3.77,0.3551,0.0278,0.0092,0.0317,2.4324,ND,0.0028,0.0025,0.0028,0.0006,0.0003,0.0075,0.0191,0.0020,0.0204,0.0020,ND,ND,ND,ND,ND,ND,ND,0.0011,ND,ND,ND,51.18
7968,15,2.77,4.48,26.17,ND,0.7879,1.1348,9.14,0.3000,0.0198,0.0083,0.0534,3.7179,ND,0.0014,0.0023,0.0012,0.0005,0.0004,0.0056,0.0247,0.0023,0.0184,0.0016,ND,ND,ND,ND,ND,ND,ND,0.0008,ND,ND,ND,51.37
7968,15,2.55,5.73,25.22,ND,1.7028,1.4547,8.20,0.3257,0.0173,0.0075,0.0576,4.1997,ND,0.0019,0.0033,0.0012,0.0006,ND,0.0052,0.0243,0.0023,0.0181,0.0016,ND,ND,ND,ND,ND,0.0014,ND,0.0009,ND,0.0014,ND,50.48
7969,15,2.06,6.07,30.49,ND,1.7532,1.7519,3.73,0.3564,0.0259,0.0072,0.0293,2.5859,ND,0.0020,0.0026,0.0012,0.0007,0.0003,0.0067,0.0212,0.0023,0.0222,0.0020,ND,ND,ND,ND,ND,ND,ND,0.0011,ND,ND,ND,51.09
7969,15,1.89,5.56,30.38,ND,1.5989,1.7014,3.83,0.3619,0.0260,0.0073,0.0285,2.4872,ND,0.0028,0.0029,0.0016,0.0009,0.0004,0.0083,0.0208,0.0023,0.0221,0.0020,ND,ND,ND,ND,ND,ND,ND,0.0010,ND,ND,ND,52.06
7970,15,2.07,6.34,30.02,ND,1.0727,1.8733,2.91,0.4015,0.0264,0.0084,0.0274,2.3628,ND,0.0034,0.0025,0.0017,0.0008,0.0006,0.0085,0.0229,0.0026,0.0236,0.0021,ND,ND,ND,ND,ND,0.0010,ND,0.0012,ND,ND,ND,52.82
7970,15,1.57,7.45,30.89,ND,1.7130,2.4205,1.52,0.4457,0.0309,0.0148,0.0204,2.7331,ND,0.0053,0.0037,0.0035,0.0012,0.0009,0.0101,0.0189,0.0024,0.0246,0.0025,ND,ND,ND,ND,ND,0.0011,ND,0.0015,ND,ND,0.0005,51.13
7971,15,1.89,6.99,30.09,ND,2.5861,2.1604,1.84,0.4207,0.0344,0.0074,0.0205,2.2090,ND,0.0029,0.0029,0.0027,0.0007,0.0004,0.0095,0.0205,0.0024,0.0264,0.0027,ND,ND,ND,0.0025,ND,ND,ND,0.0012,ND,ND,ND,51.68
7971,15,2.15,7.52,30.72,ND,1.4363,2.3206,1.78,0.4184,0.0293,0.0100,0.0279,2.4041,ND,0.0048,0.0030,0.0054,0.0008,0.0004,0.0089,0.0195,0.0024,0.0228,0.0023,ND,ND,ND,ND,ND,ND,ND,0.0012,ND,0.0010,ND,51.11
7972,15,1.94,6.92,30.42,ND,1.6680,2.0873,2.74,0.4092,0.0322,0.0113,0.0242,2.4063,ND,0.0037,0.0026,0.0164,0.0009,0.0007,0.0085,0.0200,0.0023,0.0220,0.0021,ND,ND,ND,ND,ND,0.0015,ND,0.0011,ND,ND,0.0006,51.26
7972,15,2.09,6.36,30.55,ND,1.3349,2.1388,2.54,0.4212,0.0460,0.0125,0.0271,2.5929,ND,0.0054,0.0033,0.0036,0.0011,0.0013,0.0098,0.0223,0.0026,0.0235,0.0024,0.0009,ND,ND,ND,ND,0.0010,ND,0.0015,ND,0.0011,ND,51.81
7973,15,1.82,6.83,28.58,ND,2.1487,2.3514,2.88,0.4480,0.0552,0.0205,0.0246,2.8954,ND,0.0081,0.0043,0.0039,0.0014,0.0016,0.0108,0.0199,0.0028,0.0221,0.0024,0.0021,ND,ND,ND,ND,ND,ND,0.0014,ND,ND,0.0011,51.87
7973,15,2.03,7.14,29.93,ND,1.6232,2.4626,2.20,0.4672,0.0595,0.0176,0.0250,2.9371,ND,0.0107,0.0048,0.0110,0.0014,0.0024,0.0111,0.0177,0.0029,0.0228,0.0028,0.0029,ND,ND,ND,ND,ND,0.0005,0.0013,ND,ND,0.0010,51.02
7974,15,1.78,7.20,30.47,ND,1.4971,2.4047,2.68,0.4528,0.0611,0.0190,0.0259,2.9110,ND,0.0093,0.0061,0.0054,0.0011,0.0023,0.0115,0.0186,0.0028,0.0223,0.0023,0.0029,ND,ND,ND,ND,ND,0.0007,0.0018,ND,0.0015,ND,50.40
7974,15,1.86,7.32,29.74,ND,1.1440,2.4935,2.27,0.4664,0.0444,0.0195,0.0242,2.5370,ND,0.0075,0.0044,0.0056,0.0011,0.0015,0.0114,0.0168,0.0028,0.0230,0.0026,0.0009,ND,ND,ND,ND,ND,0.0005,0.0016,ND,0.0012,0.0007,52.00
7975,15,1.80,6.26,30.45,ND,1.7152,1.9120,3.51,0.3790,0.0360,0.0150,0.0225,2.2537,ND,0.0037,0.0024,0.0045,0.0008,0.0007,0.0083,0.0238,0.0025,0.0216,0.0020,0.0005,ND,ND,ND,ND,ND,ND,0.0013,ND,ND,ND,51.58
7975,15,1.81,6.83,29.89,ND,1.8156,2.0777,2.91,0.3912,0.0295,0.0115,0.0267,2.5927,ND,0.0051,0.0039,0.0049,0.0010,0.0008,0.0086,0.0217,0.0024,0.0221,0.0018,0.0008,ND,ND,ND,ND,ND,0.0005,0.0013,ND,ND,ND,51.54
7976,15,1.95,6.30,29.80,ND,1.1646,2.0133,3.72,0.4128,0.0376,0.0148,0.0291,2.8783,ND,0.0054,0.0050,0.0048,0.0009,0.0010,0.0093,0.0195,0.0026,0.0226,0.0026,0.0009,ND,ND,ND,ND,0.0014,ND,0.0015,ND,0.0010,ND,51.60
7976,15,1.81,6.07,27.35,ND,1.5877,1.7839,5.87,0.3736,0.0361,0.0106,0.0404,3.4774,ND,0.0048,0.0041,0.0054,0.0011,0.0010,0.0080,0.0219,0.0025,0.0206,0.0020,0.0012,ND,ND,ND,ND,ND,ND,0.0010,ND,0.0014,ND,51.52
7977,15,1.82,6.63,31.44,ND,1.4756,2.1424,2.43,0.4127,0.0414,0.0119,0.0233,2.4542,ND,0.0059,0.0032,0.0035,0.0010,0.0009,0.0093,0.0231,0.0026,0.0248,0.0021,0.0011,ND,ND,ND,ND,ND,ND,0.0016,ND,0.0010,ND,51.03
7977,15,1.68,6.43,30.40,ND,1.7709,1.7959,4.03,0.3871,0.0352,0.0107,0.0240,2.2137,ND,0.0039,0.0034,0.0016,0.0011,0.0006,0.0074,0.0227,0.0026,0.0203,0.0022,0.0004,ND,ND,ND,ND,ND,ND,0.0010,ND,0.0011,0.0005,51.16
7978,15,1.85,5.75,30.07,ND,2.5730,1.7074,3.18,0.3834,0.0390,0.0087,0.0228,2.2840,ND,0.0033,0.0031,0.0020,0.0009,0.0006,0.0081,0.0216,0.0025,0.0241,0.0021,0.0007,ND,ND,ND,ND,ND,ND,0.0012,ND,0.0013,ND,52.06
7978,15,1.56,5.33,29.64,ND,2.7659,1.6144,3.44,0.3831,0.0258,0.0113,0.0197,2.1115,ND,0.0040,0.0028,0.0013,0.0007,0.0005,0.0075,0.0253,0.0023,0.0247,0.0019,0.0007,ND,ND,ND,ND,ND,ND,0.0013,ND,0.0010,ND,53.02
7979,15,1.50,5.58,30.57,ND,1.7394,1.7212,2.87,0.3971,0.0347,0.0103,0.0198,2.1016,ND,0.0041,0.0033,0.0016,0.0011,0.0006,0.0086,0.0238,0.0023,0.0247,0.0020,0.0004,ND,ND,ND,ND,ND,ND,0.0011,ND,0.0013,ND,53.39
7979,15,1.91,7.08,29.88,ND,2.3850,2.1541,2.13,0.4168,0.0406,0.0107,0.0239,2.5239,ND,0.0049,0.0043,0.0015,0.0012,0.0008,0.0094,0.0228,0.0025,0.0245,0.0023,ND,ND,ND,ND,ND,ND,0.0004,0.0014,ND,ND,ND,51.37
7980,15,1.82,7.27,30.26,ND,1.9232,2.2477,2.33,0.4238,0.0366,0.0096,0.0217,2.3204,ND,0.0053,0.0031,0.0017,0.0012,0.0008,0.0094,0.0234,0.0025,0.0238,0.0024,ND,ND,ND,ND,ND,ND,0.0005,0.0010,ND,ND,ND,51.27
7980,15,1.77,7.48,30.57,ND,1.4324,2.2778,1.80,0.4353,0.0402,0.0141,0.0216,2.0594,ND,0.0028,0.0030,0.0017,0.0006,0.0007,0.0084,0.0225,0.0023,0.0233,0.0019,ND,ND,ND,ND,ND,ND,ND,0.0013,ND,ND,ND,52.03
7981,15,1.82,7.77,31.09,ND,1.4210,2.4502,1.97,0.4440,0.0297,0.0156,0.0232,2.2590,ND,0.0049,0.0026,0.0032,0.0007,0.0008,0.0096,0.0199,0.0025,0.0235,0.0028,ND,ND,ND,ND,ND,0.0013,ND,0.0015,ND,ND,ND,50.63
7981,15,1.86,7.63,30.72,ND,1.5215,2.3839,2.30,0.4167,0.0246,0.0148,0.0220,2.0838,ND,0.0033,0.0036,0.0023,0.0009,0.0006,0.0090,0.0209,0.0027,0.0237,0.0023,ND,ND,ND,ND,ND,ND,ND,0.0009,ND,ND,ND,50.94
7982,15,1.67,6.64,32.73,ND,1.4088,2.0906,2.03,0.4316,0.0300,0.0091,0.0205,2.3795,ND,0.0039,0.0034,0.0037,0.0014,0.0006,0.0092,0.0212,0.0024,0.0237,0.0022,ND,ND,ND,ND,ND,0.0011,ND,0.0012,ND,0.0010,ND,50.48
7982,15,2.04,7.02,30.87,0.0447,1.5896,2.1581,2.67,0.4242,0.0304,0.0134,0.0213,2.2237,ND,0.0037,0.0027,0.0026,0.0008,0.0007,0.0086,0.0219,0.0024,0.0235,0.0020,ND,ND,ND,ND,ND,ND,ND,0.0011,ND,ND,ND,50.82
7983,15,1.92,5.45,30.61,0.0285,1.8611,1.7021,3.06,0.3638,0.0283,0.0101,0.0226,2.0982,ND,0.0038,0.0019,0.0016,0.0008,0.0006,0.0083,0.0234,0.0022,0.0229,0.0020,ND,ND,ND,ND,ND,ND,0.0006,0.0013,ND,ND,ND,52.77
7983,15,1.86,6.05,31.50,ND,1.4803,1.8209,3.72,0.3747,0.0285,0.0124,0.0258,2.2244,ND,0.0034,0.0030,0.0017,0.0009,0.0007,0.0078,0.0236,0.0025,0.0181,0.0022,0.0004,ND,ND,ND,ND,ND,ND,0.0010,ND,0.0015,ND,50.84
7984,15,1.71,6.10,30.80,ND,1.8355,1.9729,2.51,0.4031,0.0505,0.0148,0.0206,2.3097,ND,0.0063,0.0031,0.0036,0.0010,0.0010,0.0094,0.0216,0.0023,0.0216,0.0025,0.0014,ND,ND,ND,ND,0.0011,ND,0.0013,ND,ND,0.0006,52.20
7984,15,1.31,4.98,30.11,0.0510,1.0151,1.3962,6.24,0.4335,0.0612,0.0132,0.0246,2.2484,ND,0.0052,0.0023,0.0013,0.0012,0.0010,0.0071,0.2156,0.0034,0.0273,0.0022,ND,ND,ND,ND,ND,ND,ND,0.0010,ND,0.0025,0.0009,51.84
7985,15,1.65,6.51,29.96,ND,2.6642,1.9846,2.30,0.3815,0.0291,0.0134,0.0212,2.2103,ND,0.0051,0.0028,0.0020,0.0008,0.0007,0.0083,0.0224,0.0023,0.0238,0.0024,0.0010,ND,ND,ND,ND,ND,ND,0.0013,ND,0.0014,ND,52.20
7985,15,1.80,5.87,31.50,ND,1.6421,1.8184,3.95,0.3750,0.0265,0.0101,0.0233,2.2019,ND,0.0029,0.0030,0.0013,0.0007,0.0003,0.0082,0.0241,0.0023,0.0207,0.0021,ND,ND,ND,ND,ND,ND,ND,0.0014,ND,ND,ND,50.73
7986,15,3.18,3.46,20.89,ND,0.8044,0.7118,13.89,0.2558,0.0143,0.0077,0.0617,3.7349,ND,ND,0.0022,0.0006,0.0007,0.0003,0.0039,0.0401,0.0024,0.0171,0.0010,ND,ND,ND,ND,ND,0.0015,ND,0.0005,ND,0.0015,ND,52.92
7986,15,2.25,4.63,24.90,ND,0.7614,1.1361,12.41,0.3114,0.0277,0.0053,0.0677,2.1720,ND,ND,0.0021,0.0017,0.0006,0.0002,0.0056,0.0267,0.0018,0.0190,0.0016,ND,ND,ND,ND,ND,ND,ND,0.0006,ND,ND,ND,51.27
7987,15,3.45,4.42,22.28,ND,0.7563,1.0753,10.80,0.2875,0.0224,0.0055,0.0685,4.1385,ND,0.0014,0.0023,0.0010,0.0006,0.0003,0.0056,0.0228,0.0016,0.0183,0.0014,ND,ND,ND,ND,ND,ND,ND,0.0007,ND,ND,ND,52.64
7987,15,3.19,3.94,22.55,ND,0.6446,0.8923,10.75,0.2854,0.0157,0.0087,0.0717,3.9430,ND,ND,0.0020,0.0012,0.0006,0.0003,0.0051,0.0225,0.0015,0.0173,0.0014,ND,ND,ND,ND,ND,ND,ND,0.0006,ND,ND,ND,53.65
7988,15,2.83,4.79,22.71,ND,1.5552,1.2058,9.94,0.3065,0.0266,0.0080,0.0572,3.7678,ND,0.0023,0.0020,0.0015,0.0006,0.0003,0.0062,0.0237,0.0020,0.0180,0.0018,ND,ND,ND,ND,ND,ND,ND,0.0012,ND,ND,ND,52.75
7988,15,3.08,4.96,23.52,ND,0.9658,1.2005,9.65,0.3085,0.0219,0.0101,0.0625,3.8321,ND,0.0026,0.0020,0.0010,0.0006,0.0003,0.0059,0.0222,0.0019,0.0173,0.0015,ND,ND,ND,ND,ND,ND,ND,0.0008,ND,ND,ND,52.33
7989,15,2.65,5.05,26.02,ND,0.9965,1.2964,7.73,0.3208,0.0209,0.0074,0.0511,3.4095,ND,0.0021,0.0020,0.0015,0.0007,0.0005,0.0064,0.0235,0.0021,0.0197,0.0019,ND,ND,ND,ND,ND,ND,ND,0.0009,ND,0.0010,ND,52.38
7989,15,1.64,5.72,32.50,ND,1.0623,1.8053,2.67,0.3829,0.0350,0.0117,0.0228,2.0739,ND,0.0033,0.0025,0.0012,0.0009,0.0005,0.0081,0.0242,0.0023,0.0242,0.0021,ND,ND,ND,ND,ND,0.0011,ND,0.0012,ND,0.0013,ND,52.00
7990,15,1.86,6.42,31.09,ND,1.7735,2.0006,2.44,0.3973,0.0303,0.0092,0.0223,2.4118,ND,0.0039,0.0027,0.0014,0.0010,0.0006,0.0083,0.0221,0.0021,0.0236,0.0021,ND,ND,ND,ND,ND,ND,ND,0.0011,ND,ND,ND,51.48
7990,15,1.94,7.12,33.17,ND,0.7873,2.3706,1.33,0.4807,0.0306,0.0124,0.0216,2.2269,ND,0.0040,0.0025,0.0103,0.0007,0.0004,0.0107,0.0188,0.0026,0.0257,0.0024,ND,ND,ND,ND,ND,ND,ND,0.0013,ND,0.0012,ND,50.44
7991,15,1.86,7.29,32.28,ND,1.0593,2.4143,1.37,0.4474,0.0259,0.0132,0.0232,2.2931,ND,0.0034,0.0024,0.0071,0.0008,0.0007,0.0105,0.0171,0.0021,0.0240,0.0023,ND,ND,ND,ND,ND,ND,ND,0.0013,ND,0.0011,ND,50.85
7991,15,1.79,7.57,29.76,ND,1.2991,2.3509,2.37,0.4478,0.0278,0.0140,0.0232,2.2615,ND,0.0039,0.0028,0.0051,0.0006,0.0007,0.0089,0.0204,0.0026,0.0223,0.0024,ND,ND,ND,ND,ND,ND,ND,0.0013,ND,ND,ND,52.01
7992,15,1.78,6.41,30.01,ND,1.5737,2.0166,2.74,0.4149,0.0344,0.0131,0.0256,2.1936,ND,0.0035,0.0027,0.0137,0.0010,0.0006,0.0088,0.0256,0.0026,0.0224,0.0022,ND,ND,ND,ND,ND,0.0012,ND,0.0013,ND,ND,ND,52.71
7992,15,1.90,6.37,28.76,ND,1.7109,2.0055,4.24,0.4530,0.0306,0.0161,0.0257,2.8386,ND,0.0052,0.0029,0.0020,0.0011,0.0010,0.0092,0.0202,0.0028,0.0217,0.0024,0.0012,ND,ND,ND,ND,0.0013,ND,0.0015,ND,0.0010,0.0005,51.58
7993,15,1.87,6.73,30.91,ND,2.0433,2.1650,2.46,0.4271,0.0374,0.0149,0.0194,2.4706,ND,0.0066,0.0035,0.0066,0.0010,0.0013,0.0093,0.0199,0.0025,0.0231,0.0024,0.0017,ND,ND,ND,ND,ND,ND,0.0012,ND,ND,ND,50.76
7993,15,1.66,6.60,28.76,0.0355,1.4059,2.0746,6.01,0.4557,0.0418,0.0207,0.0251,2.6069,ND,0.0061,0.0031,0.0023,0.0010,0.0012,0.0096,0.0243,0.0035,0.0204,0.0025,0.0008,ND,ND,ND,ND,0.0012,ND,0.0015,ND,ND,0.0008,50.22
7994,15,1.65,6.64,30.68,ND,2.3102,2.0677,2.54,0.3844,0.0331,0.0098,0.0221,2.4141,ND,0.0055,0.0032,0.0048,0.0011,0.0011,0.0089,0.0202,0.0024,0.0220,0.0018,0.0016,ND,ND,ND,ND,ND,ND,0.0013,ND,0.0010,0.0006,51.18
7994,15,2.09,7.57,30.28,ND,1.7854,2.3281,2.05,0.4089,0.0478,0.0142,0.0234,2.4387,ND,0.0058,0.0035,0.0032,0.0011,0.0010,0.0096,0.0195,0.0026,0.0232,0.0023,0.0011,ND,ND,ND,ND,ND,ND,0.0012,ND,ND,ND,50.89
7995,15,1.86,6.83,28.84,0.0328,1.6443,2.2253,4.88,0.4359,0.0368,0.0198,0.0247,2.8409,ND,0.0055,0.0034,0.0018,0.0014,0.0009,0.0100,0.0230,0.0036,0.0205,0.0022,0.0012,ND,ND,ND,ND,ND,ND,0.0017,ND,ND,ND,50.25
7995,15,1.84,7.16,30.45,ND,1.9579,2.2325,2.29,0.4194,0.0420,0.0135,0.0231,2.5052,ND,0.0052,0.0040,0.0017,0.0011,0.0010,0.0093,0.0203,0.0022,0.0213,0.0020,0.0019,ND,ND,ND,ND,ND,ND,0.0013,ND,ND,0.0006,50.99
7996,15,1.73,6.04,30.64,ND,2.2386,1.9693,3.04,0.4036,0.0299,0.0110,0.0249,2.4571,ND,0.0063,0.0036,0.0017,0.0012,0.0010,0.0087,0.0198,0.0023,0.0206,0.0019,0.0021,ND,ND,ND,ND,ND,ND,0.0011,ND,0.0013,ND,51.34
