Depth (ft),Core,Mg,Al,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,W,Hg,Pb,Bi,Th,U,LE
6849,1,2.00,7.09,30.64,ND,2.4345,2.4701,0.86,0.4121,0.0554,0.0452,0.0188,4.4325,ND,0.0155,0.0075,0.0239,0.0021,0.0035,0.0117,0.0150,0.0016,0.0207,0.0021,0,ND,ND,ND,ND,ND,0,0,ND,0,0,49.43
6850,1,1.72,4.96,30.23,0.1586,0.9804,1.7057,5.95,0.3499,0.0394,0.0169,0.0245,2.7368,ND,0.0047,0.0027,0.0036,0.0009,0.0016,0.0087,0.0331,0.0022,0.0174,0.0018,0,ND,ND,ND,ND,ND,ND,0,ND,0,0,51.06
6850,1,1.60,3.65,35.97,0.0904,0.7425,1.1534,3.33,0.2393,0.0229,0.0109,0.0128,1.8299,ND,0.0022,0.0027,0.0020,0.0006,0.0009,0.0061,0.0294,0.0017,0.0172,0.0010,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,51.27
6851,1,2.03,5.71,33.21,ND,0.6654,2.0613,1.77,0.3132,0.0348,0.0224,0.0212,2.5502,ND,0.0065,0.0038,0.0036,0.0007,0.0020,0.0100,0.0180,0.0011,0.0161,0.0021,0,ND,ND,ND,ND,0,0,0,ND,0,ND,51.55
6851,1,2.19,6.14,32.69,ND,0.7882,2.2588,2.15,0.3317,0.0304,0.0149,0.0240,2.9673,ND,0.0046,0.0037,0.0036,0.0009,0.0014,0.0113,0.0175,0.0010,0.0141,0.0020,ND,ND,ND,ND,ND,0,ND,0,ND,ND,ND,50.35
6852,1,1.71,6.65,32.52,ND,0.8142,2.4440,1.57,0.3749,0.0402,0.0247,0.0229,3.1112,ND,0.0069,0.0043,0.0079,0.0008,0.0016,0.0118,0.0180,0.0010,0.0156,0.0020,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,50.65
6852,1,1.93,7.40,31.95,ND,0.8168,2.6793,1.08,0.4020,0.0508,0.0456,0.0235,3.2489,ND,0.0088,0.0051,0.0077,0.0006,0.0029,0.0132,0.0136,0.0010,0.0180,0.0025,0,ND,ND,ND,ND,0,ND,0,ND,ND,ND,50.30
6853,1,1.53,5.23,31.33,ND,0.9629,1.8141,4.12,0.3178,0.0304,0.0169,0.0233,2.8622,ND,0.0059,0.0031,0.0063,0.0009,0.0015,0.0097,0.0244,0.0012,0.0161,0.0018,0,ND,ND,ND,ND,ND,ND,0,ND,0,ND,51.69
6853,1,1.68,4.81,22.85,2.3340,1.0730,1.4919,14.62,0.2803,0.0587,0.0274,0.0291,2.6514,ND,0.0078,0.0037,0.0055,0.0011,0.0014,0.0071,0.0764,0.0140,0.0111,0.0014,0,ND,ND,ND,ND,0,ND,0,ND,0,0,47.97
6854,1,1.68,6.10,33.89,ND,0.8540,2.1408,1.33,0.3445,0.0479,0.0274,0.0179,2.6875,ND,0.0085,0.0037,0.0426,0.0009,0.0021,0.0104,0.0148,0.0011,0.0183,0.0019,0,ND,ND,ND,ND,ND,ND,0.0020,ND,0,ND,50.78
6854,1,1.68,5.04,36.52,ND,0.8667,1.6919,1.20,0.3078,0.0300,0.0116,0.0174,2.2195,ND,0.0032,0.0021,0.0027,0.0007,0.0010,0.0078,0.0194,0.0009,0.0163,0.0015,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,50.36
6855,1,1.48,4.64,31.26,0.5592,0.9926,1.4214,5.91,0.2849,0.0430,0.0141,0.0195,2.2610,ND,0.0028,0.0028,0.0019,0.0009,0.0009,0.0075,0.0322,0.0028,0.0181,0.0014,ND,ND,ND,ND,ND,0,ND,0,ND,0,ND,51.04
6855,1,2.19,4.69,28.64,0.4373,1.6410,1.4207,5.18,0.3105,0.0289,0.0115,0.0173,2.3775,ND,0.0030,0.0024,0.0017,0.0008,0.0010,0.0076,0.0317,0.0024,0.0203,0.0018,0,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,52.98
6856,1,1.89,5.30,35.85,ND,1.0404,1.6957,1.49,0.3002,0.0310,0.0113,0.0176,2.1538,ND,0.0030,0.0022,0.0018,0.0008,0.0007,0.0076,0.0212,0.0010,0.0176,0.0013,ND,ND,ND,ND,ND,ND,ND,0,ND,ND,ND,50.16
6856,1,1.57,1.42,7.43,0.3246,0.5768,0.2546,35.77,0.1293,0.0405,0.0097,0.0958,1.2026,ND,0.0016,0.0017,0.0016,0.0003,0.0005,0.0019,0.0549,0.0022,0.0046,ND,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,51.11
